discharge_rate,charge_rate,ambient_temperature,battery_temperature,label
0.69,1.74,27.53,38.25,2
0.55,1.06,36.45,21.1,0
0.73,0.98,33.68,43.04,3
1.78,0.63,19.71,21.78,0
1.92,0.78,36.67,29.69,2
0.63,1.73,17.58,29.07,2
1.38,1.25,29.65,30.9,0
1.79,1.75,39.18,41.92,2
0.84,1.57,35.25,23.87,0
1.31,1.35,21.19,40.42,0
1.83,1.19,19.01,28.56,2
1.53,1.31,24.04,22.33,0
1.95,1.55,16.82,23.82,2
1.03,1.67,29.75,22.76,2
1.77,1.5,36.82,25.81,0
1.71,1.52,18.87,29.32,0
1.93,0.69,32.18,37.9,2
1.59,1.25,27.55,42.26,3
0.84,1.05,24.25,39.64,0
1.79,0.91,18.38,21.88,0
0.68,0.67,33.3,42.06,3
1.21,1.65,28.66,32.8,2
1.8,1.26,20.93,29.97,0
0.77,1.52,30.55,43.94,3
1.99,1.19,19.9,20.25,2
1.58,1.43,33.78,37.03,0
1.17,0.86,35.87,42.93,3
1.83,0.76,22.69,35.42,2
1.48,1.14,27.44,23.35,0
1.23,1.56,27.85,42.95,3
1.59,1.69,15.34,35.45,2
1.9,1.32,30.35,34.86,2
1.29,1.16,18.96,41.54,0
0.97,1.06,35.26,32.51,0
1.67,1.78,23.86,43.69,3
1.4,0.55,36.7,30.63,0
0.51,1.04,37.89,40.36,0
0.52,1.43,21.67,23.92,0
1.31,1.73,15.3,27.2,2
0.68,1.59,31.92,33.97,0
1.86,1.03,19.3,23.56,2
1.22,0.53,32.41,26.28,0
1.68,1.29,28.13,23.06,0
1.06,0.81,33.93,30.1,0
1.79,0.6,16.8,21.26,1
0.9,0.56,17.83,28.67,1
0.58,1.0,22.31,26.98,0
1.98,0.66,19.98,32.62,2
1.42,1.79,16.9,40.93,2
1.26,0.67,15.32,39.44,1
1.97,1.08,28.21,20.12,2
1.84,1.16,31.13,30.07,2
0.87,0.59,26.64,33.99,0
1.46,0.59,22.31,34.62,0
0.68,0.94,20.95,25.27,0
0.78,0.71,30.85,34.21,0
0.65,1.51,39.6,43.1,3
1.29,1.32,31.61,34.7,0
1.87,1.35,20.89,43.92,3
1.33,1.01,33.85,36.69,0
0.72,0.53,21.43,30.64,0
0.95,0.72,29.04,27.75,0
1.78,1.2,19.05,29.41,0
0.56,0.61,15.88,23.52,1
1.83,1.4,18.99,34.44,2
1.44,1.77,17.49,23.68,2
1.34,0.9,27.24,34.41,0
1.04,0.81,26.13,27.68,0
0.63,0.58,22.53,20.44,0
1.42,1.16,38.4,35.62,0
1.96,0.78,38.09,21.13,2
1.92,0.71,38.34,30.88,2
0.63,0.8,37.54,34.66,0
0.87,0.92,23.36,37.87,0
1.69,1.12,32.09,39.44,0
1.32,0.66,24.22,40.53,0
1.79,0.54,36.0,40.93,0
1.68,1.58,39.66,29.34,0
1.57,1.15,34.22,35.63,0
0.92,0.76,33.48,37.85,0
0.86,1.12,16.43,28.43,1
1.61,0.61,21.71,43.16,3
1.85,1.66,29.87,28.94,2
0.73,1.59,24.45,39.91,0
1.43,0.87,15.39,21.41,1
1.54,0.84,22.91,35.67,0
0.74,1.15,24.87,34.05,0
1.1,1.15,22.87,42.6,3
1.94,1.53,33.59,26.91,2
1.15,1.37,24.74,21.14,0
0.95,1.59,20.18,40.79,0
1.3,0.86,30.53,22.81,0
1.69,1.49,31.46,38.44,0
1.15,0.61,25.78,29.79,0
1.53,1.14,21.24,35.41,0
1.03,1.48,25.61,30.87,0
1.88,0.52,31.27,31.73,2
1.05,1.19,17.73,44.16,3
0.95,0.84,20.77,28.68,0
1.33,0.58,21.65,26.74,0
